Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1153,0.462231,10.8082,-21.99,12.5926,-273.756,29.2555,22.4522,-1.78446,2222.94,-6.51504,11.2709,0
1162,-3.11761,11.1172,-21.99,12.5926,-397.76,34.3326,18.8724,-1.47547,2195.71,-10.6399,11.1658,0
1174,-9.01679,11.7546,-21.99,12.5926,-491.598,53.1208,12.9732,-0.838021,2158,-14.7697,11.6802,0
1182,-13.6051,12.3335,-21.99,12.5926,-573.543,72.3604,8.38486,-0.259138,2109.55,-19.1042,12.9109,0
1194,-16.6139,12.702,-21.99,12.5926,-250.728,30.7092,5.37612,0.109373,2057.17,-21.1796,12.4871,0
1202,-19.6406,13.0133,-21.99,12.5926,-378.347,38.9135,2.34935,0.420681,2018.35,-22.0703,12.9427,0
1214,-21.0035,13.0484,-21.99,12.5926,-113.574,2.92187,0.986451,0.455743,2000.65,-20.7256,13.9085,0
1222,-21.2836,13.0392,-21.99,12.5926,-35.0073,-1.15206,0.706393,0.446527,1995.91,-23.3334,10.7116,0
1243,-21.4704,13.0699,-21.99,12.5926,-8.89612,1.46443,0.519574,0.47728,1995.55,-35.8454,20.3993,0
1248,-21.5748,13.0079,-21.99,12.5926,-20.883,-12.4112,0.41516,0.415224,1997.6,-21.6773,12.112,0
1255,-21.796,12.8426,-21.99,12.5926,-31.6026,-23.6137,0.193941,0.249928,2003.58,-21.5462,12.3926,0
1268,-21.9597,12.8594,-21.99,12.5926,-12.5859,1.29795,0.0303241,0.266802,2012.16,-22.5802,14.0676,0
1275,-22.0469,12.7299,-21.99,12.5926,-12.456,-18.502,-0.0568682,0.137287,2019,-21.6041,12.6186,0
1287,-22.0849,12.746,-21.99,12.5926,-3.16964,1.33804,-0.0949039,0.153344,2024.17,-22.6139,14.1224,0
1299,-22.1043,12.7539,-21.99,12.5926,-1.61669,0.66308,-0.114304,0.161301,2030.99,-22.0198,12.6975,0
1307,-22.0908,12.8304,-21.99,12.5926,1.68779,9.55761,-0.100802,0.237762,2039.33,-22.1007,12.7825,0
1315,-22.0852,12.8583,-21.99,12.5926,0.695408,3.49007,-0.0952385,0.265682,2047.25,-22.1321,12.9857,0
1327,-22.0932,12.8189,-21.99,12.5926,-0.665199,-3.28416,-0.103221,0.226272,2054.89,-22.0737,12.8813,0
1335,-22.0951,12.8175,-21.99,12.5926,-0.238599,-0.178013,-0.10513,0.224848,2063.34,-22.0256,12.7829,0
1347,-22.0963,12.8179,-21.99,12.5926,-0.0954233,0.0356218,-0.106275,0.225276,2074.02,-21.9041,12.6982,0
1357,-22.1029,12.7974,-21.99,12.5926,-0.659962,-2.04577,-0.112874,0.204818,2086.69,-22.1055,12.7927,0
1367,-22.16,12.8079,-21.99,12.5926,-5.71346,1.0414,-0.170009,0.215232,2098.28,-22.2127,12.8197,0
1375,-22.2422,12.8236,-21.99,12.5926,-10.2777,1.97038,-0.252231,0.230995,2106.07,-22.3754,12.8372,0
1388,-22.2483,12.8261,-21.99,12.5926,-0.465595,0.191591,-0.258284,0.233486,2109.96,-22.3383,12.9227,0
1395,-22.2788,12.8367,-21.99,12.5926,-4.35403,1.50547,-0.288762,0.244024,2111.54,-22.2755,12.8442,0
1407,-22.2765,12.903,-21.99,12.5926,0.185029,5.52537,-0.286542,0.310328,2112.25,-22.2369,12.7156,0
1416,-22.0794,13.9504,-21.99,12.5926,21.907,116.379,-0.0893786,1.35774,2112.47,-23.5808,15.2982,0
1429,-21.8186,15.2097,-21.99,12.5926,20.0608,96.8682,0.171412,2.61702,2111.85,-23.0481,15.8412,0
1437,-21.7697,15.4836,-21.99,12.5926,6.10825,34.2407,0.220278,2.89095,2108.97,-22.9466,15.9751,0
1448,-21.768,15.4936,-21.99,12.5926,0.15646,0.907952,0.221999,2.90094,2101.17,-23.0021,15.7276,0
1456,-21.7667,15.4996,-21.99,12.5926,0.160904,0.759616,0.223286,2.90701,2087.73,-23.1562,15.6323,0
1468,-21.7666,15.4999,-21.99,12.5926,0.00471235,0.0222447,0.223343,2.90728,2071.95,-23.1109,15.6589,0
1485,-21.7653,15.4997,-21.99,12.5926,0.0812712,-0.0145441,0.224724,2.90703,2053.88,-23.009,15.7563,0
1491,-21.6278,15.4837,-21.99,12.5926,22.9093,-2.66426,0.36218,2.89105,2028.88,-22.9498,15.7961,0
1497,-18.8643,15.2103,0,12.5926,460.589,-45.5609,-18.8643,2.61768,1999.65,0.425763,12.6868,0
1507,-10.957,14.1576,0,12.5926,790.723,-105.276,-10.957,1.56492,1976.4,0.395728,12.7518,0
1519,-2.79881,13.0833,0,12.5926,679.853,-89.522,-2.79881,0.490657,1963.07,0.330443,12.7557,0
1530,0.119804,12.7649,0,12.5926,265.329,-28.9406,0.119804,0.172311,1955.53,0.328924,12.7628,0
1537,0.25885,12.7666,0,12.5926,19.8638,0.241699,0.25885,0.174003,1949.92,0.359947,12.6823,0
1547,0.29589,12.7636,0,12.5926,3.70399,-0.302055,0.29589,0.170983,1944.71,0.461866,12.8497,0
